form	lexeme	cell
e k i p a i s	ekip	2plPres
b a s i l o	basil	1sgPres
b a s i l a s	basil	2sgPres
b a s i l a n	basil	3plPres
b a s i l a	basil	3sgPres
b a s i l a m o s	basil	1plPres
b a s i l a i s	basil	2plPres
a d m i t o	admit	1sgPres
a d m i t e s	admit	2sgPres
a d m i t e n	admit	3plPres
a d m i t e	admit	3sgPres
a d m i t i m o s	admit	1plPres
a d m i t i s	admit	2plPres
a b e n t u r o	abentur	1sgPres
a b e n t u r a s	abentur	2sgPres
a b e n t u r a n	abentur	3plPres
a b e n t u r a	abentur	3sgPres
a b e n t u r a m o s	abentur	1plPres
a b e n t u r a i s	abentur	2plPres
n a s k o	nas	1sgPres
n a s e s	nas	2sgPres
n a s e n	nas	3plPres
n a s e	nas	3sgPres
n a s e m o s	nas	1plPres
n a s e i s	nas	2plPres
a f l o r o	aflor	1sgPres
a f l o r a s	aflor	2sgPres
a f l o r a n	aflor	3plPres
a f l o r a	aflor	3sgPres
a f l o r a m o s	aflor	1plPres
a f l o r a i s	aflor	2plPres
o l b i d o	olbid	1sgPres
o l b i d a s	olbid	2sgPres
o l b i d a n	olbid	3plPres
o l b i d a	olbid	3sgPres
o l b i d a m o s	olbid	1plPres
o l b i d a i s	olbid	2plPres
i N k o	iNk	1sgPres
i N k a s	iNk	2sgPres
i N k a n	iNk	3plPres
i N k a	iNk	3sgPres
i N k a m o s	iNk	1plPres
i N k a i s	iNk	2plPres
i l u s t r o	ilustr	1sgPres
i l u s t r a s	ilustr	2sgPres
i l u s t r a n	ilustr	3plPres
i l u s t r a	ilustr	3sgPres
i l u s t r a m o s	ilustr	1plPres
i l u s t r a i s	ilustr	2plPres
t r a s l a d o	traslad	1sgPres
t r a s l a d a s	traslad	2sgPres
t r a s l a d a n	traslad	3plPres
t r a s l a d a	traslad	3sgPres
t r a s l a d a m o s	traslad	1plPres
t r a s l a d a i s	traslad	2plPres
f a s i n o	fasin	1sgPres
f a s i n a s	fasin	2sgPres
f a s i n a n	fasin	3plPres
f a s i n a	fasin	3sgPres
f a s i n a m o s	fasin	1plPres
f a s i n a i s	fasin	2plPres
a t e m o r i s o	atemoris	1sgPres
a t e m o r i s a s	atemoris	2sgPres
a t e m o r i s a n	atemoris	3plPres
a t e m o r i s a	atemoris	3sgPres
a t e m o r i s a m o s	atemoris	1plPres
a t e m o r i s a i s	atemoris	2plPres
r e k o x o	rekox	1sgPres
r e k o x e s	rekox	2sgPres
r e k o x e n	rekox	3plPres
r e k o x e	rekox	3sgPres
r e k o x e m o s	rekox	1plPres
r e k o x e i s	rekox	2plPres
b r i j o	brij	1sgPres
b r i j a s	brij	2sgPres
b r i j a n	brij	3plPres
b r i j a	brij	3sgPres
b r i j a m o s	brij	1plPres
b r i j a i s	brij	2plPres
e k s i b o	eksib	1sgPres
e k s i b e s	eksib	2sgPres
e k s i b e n	eksib	3plPres
e k s i b e	eksib	3sgPres
e k s i b i m o s	eksib	1plPres
e k s i b i s	eksib	2plPres
k o N k w e r d o	koNkord	1sgPres
k o N k w e r d a s	koNkord	2sgPres
k o N k w e r d a n	koNkord	3plPres
k o N k w e r d a	koNkord	3sgPres
k o N k o r d a m o s	koNkord	1plPres
k o N k o r d a i s	koNkord	2plPres
i n t e r n o	intern	1sgPres
i n t e r n a s	intern	2sgPres
i n t e r n a n	intern	3plPres
i n t e r n a	intern	3sgPres
i n t e r n a m o s	intern	1plPres
i n t e r n a i s	intern	2plPres
e n r o s k o	enrosk	1sgPres
e n r o s k a s	enrosk	2sgPres
e n r o s k a n	enrosk	3plPres
e n r o s k a	enrosk	3sgPres
e n r o s k a m o s	enrosk	1plPres
e n r o s k a i s	enrosk	2plPres
a u j o	awj	1sgPres
a u j a s	awj	2sgPres
a u j a n	awj	3plPres
a u j a	awj	3sgPres
a w j a m o s	awj	1plPres
a w j a i s	awj	2plPres
l i s e n s j o	lisensj	1sgPres
l i s e n s j a s	lisensj	2sgPres
l i s e n s j a n	lisensj	3plPres
l i s e n s j a	lisensj	3sgPres
l i s e n s j a m o s	lisensj	1plPres
l i s e n s j a i s	lisensj	2plPres
k o b i x o	kobix	1sgPres
k o b i x a s	kobix	2sgPres
k o b i x a n	kobix	3plPres
k o b i x a	kobix	3sgPres
k o b i x a m o s	kobix	1plPres
k o b i x a i s	kobix	2plPres
a b i t o	abit	1sgPres
a b i t a s	abit	2sgPres
a b i t a n	abit	3plPres
a b i t a	abit	3sgPres
a b i t a m o s	abit	1plPres
a b i t a i s	abit	2plPres
m o d i f i k o	modifik	1sgPres
m o d i f i k a s	modifik	2sgPres
m o d i f i k a n	modifik	3plPres
m o d i f i k a	modifik	3sgPres
m o d i f i k a m o s	modifik	1plPres
m o d i f i k a i s	modifik	2plPres
e m p a ñ o	empañ	1sgPres
e m p a ñ a s	empañ	2sgPres
e m p a ñ a n	empañ	3plPres
e m p a ñ a	empañ	3sgPres
e m p a ñ a m o s	empañ	1plPres
e m p a ñ a i s	empañ	2plPres
p l a n C o	planC	1sgPres
p l a n C a s	planC	2sgPres
p l a n C a n	planC	3plPres
p l a n C a	planC	3sgPres
p l a n C a m o s	planC	1plPres
p l a n C a i s	planC	2plPres
d e r r i b o	derrib	1sgPres
d e r r i b a s	derrib	2sgPres
d e r r i b a n	derrib	3plPres
d e r r i b a	derrib	3sgPres
d e r r i b a m o s	derrib	1plPres
d e r r i b a i s	derrib	2plPres
a r r u g o	arrug	1sgPres
a r r u g a s	arrug	2sgPres
a r r u g a n	arrug	3plPres
a r r u g a	arrug	3sgPres
a r r u g a m o s	arrug	1plPres
a r r u g a i s	arrug	2plPres
e k s k l a m o	eksklam	1sgPres
e k s k l a m a s	eksklam	2sgPres
e k s k l a m a n	eksklam	3plPres
e k s k l a m a	eksklam	3sgPres
e k s k l a m a m o s	eksklam	1plPres
e k s k l a m a i s	eksklam	2plPres
r e C a s o	reCas	1sgPres
r e C a s a s	reCas	2sgPres
r e C a s a n	reCas	3plPres
r e C a s a	reCas	3sgPres
r e C a s a m o s	reCas	1plPres
r e C a s a i s	reCas	2plPres
r e x i s t r o	rexistr	1sgPres
r e x i s t r a s	rexistr	2sgPres
r e x i s t r a n	rexistr	3plPres
r e x i s t r a	rexistr	3sgPres
r e x i s t r a m o s	rexistr	1plPres
r e x i s t r a i s	rexistr	2plPres
r e p a r t o	repart	1sgPres
r e p a r t e s	repart	2sgPres
r e p a r t e n	repart	3plPres
r e p a r t e	repart	3sgPres
r e p a r t i m o s	repart	1plPres
r e p a r t i s	repart	2plPres
a f e i t o	afeit	1sgPres
a f e i t a s	afeit	2sgPres
a f e i t a n	afeit	3plPres
a f e i t a	afeit	3sgPres
a f e i t a m o s	afeit	1plPres
a f e i t a i s	afeit	2plPres
a p a s j o n o	apasjon	1sgPres
a p a s j o n a s	apasjon	2sgPres
a p a s j o n a n	apasjon	3plPres
a p a s j o n a	apasjon	3sgPres
a p a s j o n a m o s	apasjon	1plPres
a p a s j o n a i s	apasjon	2plPres
a b r a s o	abras	1sgPres
a b r a s a s	abras	2sgPres
a b r a s a n	abras	3plPres
a b r a s a	abras	3sgPres
a b r a s a m o s	abras	1plPres
a b r a s a i s	abras	2plPres
e n t j e n d o	entend	1sgPres
e n t j e n d e s	entend	2sgPres
e n t j e n d e n	entend	3plPres
e n t j e n d e	entend	3sgPres
e n t e n d e m o s	entend	1plPres
e n t e n d e i s	entend	2plPres
s i n t e t i s o	sintetis	1sgPres
s i n t e t i s a s	sintetis	2sgPres
s i n t e t i s a n	sintetis	3plPres
s i n t e t i s a	sintetis	3sgPres
s i n t e t i s a m o s	sintetis	1plPres
s i n t e t i s a i s	sintetis	2plPres
a l u d o	alud	1sgPres
a l u d e s	alud	2sgPres
a l u d e n	alud	3plPres
a l u d e	alud	3sgPres
a l u d i m o s	alud	1plPres
a l u d i s	alud	2plPres
e n m a s k a r o	enmaskar	1sgPres
e n m a s k a r a s	enmaskar	2sgPres
e n m a s k a r a n	enmaskar	3plPres
e n m a s k a r a	enmaskar	3sgPres
e n m a s k a r a m o s	enmaskar	1plPres
e n m a s k a r a i s	enmaskar	2plPres
p e g o	peg	1sgPres
p e g a s	peg	2sgPres
p e g a n	peg	3plPres
p e g a	peg	3sgPres
p e g a m o s	peg	1plPres
p e g a i s	peg	2plPres
b j e r t o	bert	1sgPres
b j e r t e s	bert	2sgPres
b j e r t e n	bert	3plPres
b j e r t e	bert	3sgPres
b e r t e m o s	bert	1plPres
b e r t e i s	bert	2plPres
f r a k a s o	frakas	1sgPres
f r a k a s a s	frakas	2sgPres
f r a k a s a n	frakas	3plPres
f r a k a s a	frakas	3sgPres
f r a k a s a m o s	frakas	1plPres
f r a k a s a i s	frakas	2plPres
a b r u m o	abrum	1sgPres
a b r u m a s	abrum	2sgPres
a b r u m a n	abrum	3plPres
a b r u m a	abrum	3sgPres
a b r u m a m o s	abrum	1plPres
a b r u m a i s	abrum	2plPres
k o n t r a s t o	kontrast	1sgPres
k o n t r a s t a s	kontrast	2sgPres
k o n t r a s t a n	kontrast	3plPres
k o n t r a s t a	kontrast	3sgPres
k o n t r a s t a m o s	kontrast	1plPres
k o n t r a s t a i s	kontrast	2plPres
r w e d o	rod	1sgPres
r w e d a s	rod	2sgPres
r w e d a n	rod	3plPres
r w e d a	rod	3sgPres
r o d a m o s	rod	1plPres
r o d a i s	rod	2plPres
l a b o	lab	1sgPres
l a b a s	lab	2sgPres
l a b a n	lab	3plPres
l a b a	lab	3sgPres
l a b a m o s	lab	1plPres
l a b a i s	lab	2plPres
e s p o s o	espos	1sgPres
e s p o s a s	espos	2sgPres
e s p o s a n	espos	3plPres
e s p o s a	espos	3sgPres
e s p o s a m o s	espos	1plPres
e s p o s a i s	espos	2plPres
a k s j o n o	aksjon	1sgPres
a k s j o n a s	aksjon	2sgPres
a k s j o n a n	aksjon	3plPres
a k s j o n a	aksjon	3sgPres
a k s j o n a m o s	aksjon	1plPres
a k s j o n a i s	aksjon	2plPres
t r a n s p o r t o	transport	1sgPres
t r a n s p o r t a s	transport	2sgPres
t r a n s p o r t a n	transport	3plPres
t r a n s p o r t a	transport	3sgPres
t r a n s p o r t a m o s	transport	1plPres
t r a n s p o r t a i s	transport	2plPres
e n t r i s t e s k o	entristes	1sgPres
e n t r i s t e s e s	entristes	2sgPres
e n t r i s t e s e n	entristes	3plPres
e n t r i s t e s e	entristes	3sgPres
e n t r i s t e s e m o s	entristes	1plPres
e n t r i s t e s e i s	entristes	2plPres
a p e l o	apel	1sgPres
a p e l a s	apel	2sgPres
a p e l a n	apel	3plPres
a p e l a	apel	3sgPres
a p e l a m o s	apel	1plPres
a p e l a i s	apel	2plPres
d i k t o	dikt	1sgPres
d i k t a s	dikt	2sgPres
d i k t a n	dikt	3plPres
d i k t a	dikt	3sgPres
d i k t a m o s	dikt	1plPres
d i k t a i s	dikt	2plPres
d i s f r u t o	disfrut	1sgPres
d i s f r u t a s	disfrut	2sgPres
d i s f r u t a n	disfrut	3plPres
d i s f r u t a	disfrut	3sgPres
d i s f r u t a m o s	disfrut	1plPres
d i s f r u t a i s	disfrut	2plPres
l o g r o	logr	1sgPres
l o g r a s	logr	2sgPres
l o g r a n	logr	3plPres
l o g r a	logr	3sgPres
l o g r a m o s	logr	1plPres
l o g r a i s	logr	2plPres
k o n t a k t o	kontakt	1sgPres
k o n t a k t a s	kontakt	2sgPres
k o n t a k t a n	kontakt	3plPres
k o n t a k t a	kontakt	3sgPres
k o n t a k t a m o s	kontakt	1plPres
k o n t a k t a i s	kontakt	2plPres
r e f u x j o	refuxj	1sgPres
r e f u x j a s	refuxj	2sgPres
r e f u x j a n	refuxj	3plPres
r e f u x j a	refuxj	3sgPres
r e f u x j a m o s	refuxj	1plPres
r e f u x j a i s	refuxj	2plPres
k o n o s k o	konos	1sgPres
k o n o s e s	konos	2sgPres
k o n o s e n	konos	3plPres
k o n o s e	konos	3sgPres
k o n o s e m o s	konos	1plPres
k o n o s e i s	konos	2plPres
m u d o	mud	1sgPres
m u d a s	mud	2sgPres
m u d a n	mud	3plPres
m u d a	mud	3sgPres
m u d a m o s	mud	1plPres
m u d a i s	mud	2plPres
t a C o	taC	1sgPres
t a C a s	taC	2sgPres
t a C a n	taC	3plPres
t a C a	taC	3sgPres
t a C a m o s	taC	1plPres
t a C a i s	taC	2plPres
d e s k w i d o	deskwid	1sgPres
d e s k w i d a s	deskwid	2sgPres
d e s k w i d a n	deskwid	3plPres
d e s k w i d a	deskwid	3sgPres
d e s k w i d a m o s	deskwid	1plPres
d e s k w i d a i s	deskwid	2plPres
i n b j e r t o	inbert	1sgPres
i n b j e r t e s	inbert	2sgPres
i n b j e r t e n	inbert	3plPres
i n b j e r t e	inbert	3sgPres
i n b e r t i m o s	inbert	1plPres
i n b e r t i s	inbert	2plPres
t r a n s m i t o	transmit	1sgPres
t r a n s m i t e s	transmit	2sgPres
t r a n s m i t e n	transmit	3plPres
t r a n s m i t e	transmit	3sgPres
t r a n s m i t i m o s	transmit	1plPres
t r a n s m i t i s	transmit	2plPres
d e s e o	dese	1sgPres
d e s e a s	dese	2sgPres
d e s e a n	dese	3plPres
d e s e a	dese	3sgPres
d e s e a m o s	dese	1plPres
d e s e a i s	dese	2plPres
r e k o m j e n d o	rekomend	1sgPres
r e k o m j e n d a s	rekomend	2sgPres
r e k o m j e n d a n	rekomend	3plPres
r e k o m j e n d a	rekomend	3sgPres
r e k o m e n d a m o s	rekomend	1plPres
r e k o m e n d a i s	rekomend	2plPres
d e b w e l b o	debolb	1sgPres
d e b w e l b e s	debolb	2sgPres
d e b w e l b e n	debolb	3plPres
d e b w e l b e	debolb	3sgPres
d e b o l b e m o s	debolb	1plPres
d e b o l b e i s	debolb	2plPres
l i m p j o	limpj	1sgPres
l i m p j a s	limpj	2sgPres
l i m p j a n	limpj	3plPres
l i m p j a	limpj	3sgPres
l i m p j a m o s	limpj	1plPres
l i m p j a i s	limpj	2plPres
a k o s t u m b r o	akostumbr	1sgPres
a k o s t u m b r a s	akostumbr	2sgPres
a k o s t u m b r a n	akostumbr	3plPres
a k o s t u m b r a	akostumbr	3sgPres
a k o s t u m b r a m o s	akostumbr	1plPres
a k o s t u m b r a i s	akostumbr	2plPres
k w a d r o	kwadr	1sgPres
k w a d r a s	kwadr	2sgPres
k w a d r a n	kwadr	3plPres
k w a d r a	kwadr	3sgPres
k w a d r a m o s	kwadr	1plPres
k w a d r a i s	kwadr	2plPres
p a t r o s i n o	patrosin	1sgPres
p a t r o s i n a s	patrosin	2sgPres
p a t r o s i n a n	patrosin	3plPres
p a t r o s i n a	patrosin	3sgPres
p a t r o s i n a m o s	patrosin	1plPres
p a t r o s i n a i s	patrosin	2plPres
u t i l i s o	utilis	1sgPres
u t i l i s a s	utilis	2sgPres
u t i l i s a n	utilis	3plPres
u t i l i s a	utilis	3sgPres
u t i l i s a m o s	utilis	1plPres
u t i l i s a i s	utilis	2plPres
a p r o p j o	apropj	1sgPres
a p r o p j a s	apropj	2sgPres
a p r o p j a n	apropj	3plPres
a p r o p j a	apropj	3sgPres
a p r o p j a m o s	apropj	1plPres
a p r o p j a i s	apropj	2plPres
r a s k o	rask	1sgPres
r a s k a s	rask	2sgPres
r a s k a n	rask	3plPres
r a s k a	rask	3sgPres
r a s k a m o s	rask	1plPres
r a s k a i s	rask	2plPres
a b r o	abr	1sgPres
a b r e s	abr	2sgPres
a b r e n	abr	3plPres
a b r e	abr	3sgPres
a b r i m o s	abr	1plPres
a b r i s	abr	2plPres
i n s p e k s j o n o	inspeksjon	1sgPres
i n s p e k s j o n a s	inspeksjon	2sgPres
i n s p e k s j o n a n	inspeksjon	3plPres
i n s p e k s j o n a	inspeksjon	3sgPres
i n s p e k s j o n a m o s	inspeksjon	1plPres
i n s p e k s j o n a i s	inspeksjon	2plPres
p e k o	pek	1sgPres
p e k a s	pek	2sgPres
p e k a n	pek	3plPres
p e k a	pek	3sgPres
p e k a m o s	pek	1plPres
p e k a i s	pek	2plPres
a r r o x o	arrox	1sgPres
a r r o x a s	arrox	2sgPres
a r r o x a n	arrox	3plPres
a r r o x a	arrox	3sgPres
a r r o x a m o s	arrox	1plPres
a r r o x a i s	arrox	2plPres
k o n s o l i d o	konsolid	1sgPres
k o n s o l i d a s	konsolid	2sgPres
k o n s o l i d a n	konsolid	3plPres
k o n s o l i d a	konsolid	3sgPres
k o n s o l i d a m o s	konsolid	1plPres
k o n s o l i d a i s	konsolid	2plPres
a r r a s t r o	arrastr	1sgPres
a r r a s t r a s	arrastr	2sgPres
a r r a s t r a n	arrastr	3plPres
a r r a s t r a	arrastr	3sgPres
a r r a s t r a m o s	arrastr	1plPres
a r r a s t r a i s	arrastr	2plPres
a w s e n t o	awsent	1sgPres
a w s e n t a s	awsent	2sgPres
a w s e n t a n	awsent	3plPres
a w s e n t a	awsent	3sgPres
a w s e n t a m o s	awsent	1plPres
a w s e n t a i s	awsent	2plPres
r o n d o	rond	1sgPres
r o n d a s	rond	2sgPres
r o n d a n	rond	3plPres
r o n d a	rond	3sgPres
r o n d a m o s	rond	1plPres
r o n d a i s	rond	2plPres
a s e n t u o	asentw	1sgPres
a s e n t u a s	asentw	2sgPres
a s e n t u a n	asentw	3plPres
a s e n t u a	asentw	3sgPres
a s e n t w a m o s	asentw	1plPres
a s e n t w a i s	asentw	2plPres
e N k a b e s o	eNkabes	1sgPres
e N k a b e s a s	eNkabes	2sgPres
e N k a b e s a n	eNkabes	3plPres
e N k a b e s a	eNkabes	3sgPres
e N k a b e s a m o s	eNkabes	1plPres
e N k a b e s a i s	eNkabes	2plPres
t u m b o	tumb	1sgPres
t u m b a s	tumb	2sgPres
t u m b a n	tumb	3plPres
t u m b a	tumb	3sgPres
t u m b a m o s	tumb	1plPres
t u m b a i s	tumb	2plPres
i n t e n s i f i k o	intensifik	1sgPres
i n t e n s i f i k a s	intensifik	2sgPres
i n t e n s i f i k a n	intensifik	3plPres
i n t e n s i f i k a	intensifik	3sgPres
i n t e n s i f i k a m o s	intensifik	1plPres
i n t e n s i f i k a i s	intensifik	2plPres
p e l i g r o	peligr	1sgPres
p e l i g r a s	peligr	2sgPres
p e l i g r a n	peligr	3plPres
p e l i g r a	peligr	3sgPres
p e l i g r a m o s	peligr	1plPres
p e l i g r a i s	peligr	2plPres
r e d a k t o	redakt	1sgPres
r e d a k t a s	redakt	2sgPres
r e d a k t a n	redakt	3plPres
r e d a k t a	redakt	3sgPres
r e d a k t a m o s	redakt	1plPres
r e d a k t a i s	redakt	2plPres
b o r d e o	borde	1sgPres
b o r d e a s	borde	2sgPres
b o r d e a n	borde	3plPres
b o r d e a	borde	3sgPres
b o r d e a m o s	borde	1plPres
b o r d e a i s	borde	2plPres
a n u l o	anul	1sgPres
a n u l a s	anul	2sgPres
a n u l a n	anul	3plPres
a n u l a	anul	3sgPres
a n u l a m o s	anul	1plPres
a n u l a i s	anul	2plPres
k o r r e s p o n d o	korrespond	1sgPres
k o r r e s p o n d e s	korrespond	2sgPres
k o r r e s p o n d e n	korrespond	3plPres
k o r r e s p o n d e	korrespond	3sgPres
k o r r e s p o n d e m o s	korrespond	1plPres
k o r r e s p o n d e i s	korrespond	2plPres
r a s g o	rasg	1sgPres
r a s g a s	rasg	2sgPres
r a s g a n	rasg	3plPres
r a s g a	rasg	3sgPres
r a s g a m o s	rasg	1plPres
r a s g a i s	rasg	2plPres
m i m o	mim	1sgPres
m i m a s	mim	2sgPres
m i m a n	mim	3plPres
m i m a	mim	3sgPres
m i m a m o s	mim	1plPres
m i m a i s	mim	2plPres
e n t r e g o	entreg	1sgPres
e n t r e g a s	entreg	2sgPres
e n t r e g a n	entreg	3plPres
e n t r e g a	entreg	3sgPres
e n t r e g a m o s	entreg	1plPres
e n t r e g a i s	entreg	2plPres
i r r a d j o	irradj	1sgPres
i r r a d j a s	irradj	2sgPres
i r r a d j a n	irradj	3plPres
i r r a d j a	irradj	3sgPres
i r r a d j a m o s	irradj	1plPres
i r r a d j a i s	irradj	2plPres
e d u k o	eduk	1sgPres
e d u k a s	eduk	2sgPres
e d u k a n	eduk	3plPres
e d u k a	eduk	3sgPres
e d u k a m o s	eduk	1plPres
e d u k a i s	eduk	2plPres
p a l p o	palp	1sgPres
p a l p a s	palp	2sgPres
p a l p a n	palp	3plPres
p a l p a	palp	3sgPres
p a l p a m o s	palp	1plPres
p a l p a i s	palp	2plPres
k o n b e r s o	konbers	1sgPres
k o n b e r s a s	konbers	2sgPres
k o n b e r s a n	konbers	3plPres
k o n b e r s a	konbers	3sgPres
k o n b e r s a m o s	konbers	1plPres
k o n b e r s a i s	konbers	2plPres
k u l m i n o	kulmin	1sgPres
k u l m i n a s	kulmin	2sgPres
k u l m i n a n	kulmin	3plPres
k u l m i n a	kulmin	3sgPres
k u l m i n a m o s	kulmin	1plPres
k u l m i n a i s	kulmin	2plPres
t o m o	tom	1sgPres
t o m a s	tom	2sgPres
t o m a n	tom	3plPres
t o m a	tom	3sgPres
t o m a m o s	tom	1plPres
t o m a i s	tom	2plPres
r e t r a s o	retras	1sgPres
r e t r a s a s	retras	2sgPres
r e t r a s a n	retras	3plPres
r e t r a s a	retras	3sgPres
r e t r a s a m o s	retras	1plPres
r e t r a s a i s	retras	2plPres
i n s i d o	insid	1sgPres
i n s i d e s	insid	2sgPres
i n s i d e n	insid	3plPres
i n s i d e	insid	3sgPres
i n s i d i m o s	insid	1plPres
i n s i d i s	insid	2plPres
k a l j e n t o	kalent	1sgPres
k a l j e n t a s	kalent	2sgPres
k a l j e n t a n	kalent	3plPres
k a l j e n t a	kalent	3sgPres
k a l e n t a m o s	kalent	1plPres
k a l e n t a i s	kalent	2plPres
a k o n s e x o	akonsex	1sgPres
a k o n s e x a s	akonsex	2sgPres
a k o n s e x a n	akonsex	3plPres
a k o n s e x a	akonsex	3sgPres
a k o n s e x a m o s	akonsex	1plPres
a k o n s e x a i s	akonsex	2plPres
i N k j e t o	iNkjet	1sgPres
i N k j e t a s	iNkjet	2sgPres
i N k j e t a n	iNkjet	3plPres
i N k j e t a	iNkjet	3sgPres
i N k j e t a m o s	iNkjet	1plPres
i N k j e t a i s	iNkjet	2plPres
k r u x o	krux	1sgPres
k r u x e s	krux	2sgPres
k r u x e n	krux	3plPres
k r u x e	krux	3sgPres
k r u x i m o s	krux	1plPres
k r u x i s	krux	2plPres
i n b a d o	inbad	1sgPres
i n b a d e s	inbad	2sgPres
i n b a d e n	inbad	3plPres
i n b a d e	inbad	3sgPres
i n b a d i m o s	inbad	1plPres
i n b a d i s	inbad	2plPres
d e b o r o	debor	1sgPres
d e b o r a s	debor	2sgPres
d e b o r a n	debor	3plPres
d e b o r a	debor	3sgPres
d e b o r a m o s	debor	1plPres
d e b o r a i s	debor	2plPres
r e k j e r o	reker	1sgPres
r e k j e r e s	reker	2sgPres
r e k j e r e n	reker	3plPres
r e k j e r e	reker	3sgPres
r e k e r i m o s	reker	1plPres
r e k e r i s	reker	2plPres
a s u s t o	asust	1sgPres
a s u s t a s	asust	2sgPres
a s u s t a n	asust	3plPres
a s u s t a	asust	3sgPres
a s u s t a m o s	asust	1plPres
a s u s t a i s	asust	2plPres
f i n x o	fiNx	1sgPres
f i N x e s	fiNx	2sgPres
f i N x e n	fiNx	3plPres
f i N x e	fiNx	3sgPres
f i N x i m o s	fiNx	1plPres
f i N x i s	fiNx	2plPres
r e p a r o	repar	1sgPres
r e p a r a s	repar	2sgPres
r e p a r a n	repar	3plPres
r e p a r a	repar	3sgPres
r e p a r a m o s	repar	1plPres
r e p a r a i s	repar	2plPres
m e r m o	merm	1sgPres
m e r m a s	merm	2sgPres
m e r m a n	merm	3plPres
m e r m a	merm	3sgPres
m e r m a m o s	merm	1plPres
m e r m a i s	merm	2plPres
a p a r k o	apark	1sgPres
a p a r k a s	apark	2sgPres
a p a r k a n	apark	3plPres
a p a r k a	apark	3sgPres
a p a r k a m o s	apark	1plPres
a p a r k a i s	apark	2plPres
d e s k w e l g o	deskolg	1sgPres
d e s k w e l g a s	deskolg	2sgPres
d e s k w e l g a n	deskolg	3plPres
d e s k w e l g a	deskolg	3sgPres
d e s k o l g a m o s	deskolg	1plPres
d e s k o l g a i s	deskolg	2plPres
k o m p a r e s k o	kompares	1sgPres
k o m p a r e s e s	kompares	2sgPres
k o m p a r e s e n	kompares	3plPres
k o m p a r e s e	kompares	3sgPres
k o m p a r e s e m o s	kompares	1plPres
k o m p a r e s e i s	kompares	2plPres
s e n o	sen	1sgPres
s e n a s	sen	2sgPres
s e n a n	sen	3plPres
s e n a	sen	3sgPres
s e n a m o s	sen	1plPres
s e n a i s	sen	2plPres
r e s t r j e g o	restreg	1sgPres
r e s t r j e g a s	restreg	2sgPres
r e s t r j e g a n	restreg	3plPres
r e s t r j e g a	restreg	3sgPres
r e s t r e g a m o s	restreg	1plPres
r e s t r e g a i s	restreg	2plPres
i n s p i r o	inspir	1sgPres
i n s p i r a s	inspir	2sgPres
i n s p i r a n	inspir	3plPres
i n s p i r a	inspir	3sgPres
i n s p i r a m o s	inspir	1plPres
i n s p i r a i s	inspir	2plPres
i n m o b i l i s o	inmobilis	1sgPres
i n m o b i l i s a s	inmobilis	2sgPres
i n m o b i l i s a n	inmobilis	3plPres
i n m o b i l i s a	inmobilis	3sgPres
i n m o b i l i s a m o s	inmobilis	1plPres
i n m o b i l i s a i s	inmobilis	2plPres
m e d i t o	medit	1sgPres
m e d i t a s	medit	2sgPres
m e d i t a n	medit	3plPres
m e d i t a	medit	3sgPres
m e d i t a m o s	medit	1plPres
m e d i t a i s	medit	2plPres
e k s a m i n o	eksamin	1sgPres
e k s a m i n a s	eksamin	2sgPres
e k s a m i n a n	eksamin	3plPres
e k s a m i n a	eksamin	3sgPres
e k s a m i n a m o s	eksamin	1plPres
e k s a m i n a i s	eksamin	2plPres
a r t i k u l o	artikul	1sgPres
a r t i k u l a s	artikul	2sgPres
a r t i k u l a n	artikul	3plPres
a r t i k u l a	artikul	3sgPres
a r t i k u l a m o s	artikul	1plPres
a r t i k u l a i s	artikul	2plPres
r e a p a r e s k o	reapares	1sgPres
r e a p a r e s e s	reapares	2sgPres
r e a p a r e s e n	reapares	3plPres
r e a p a r e s e	reapares	3sgPres
r e a p a r e s e m o s	reapares	1plPres
r e a p a r e s e i s	reapares	2plPres
k r u s o	krus	1sgPres
k r u s a s	krus	2sgPres
k r u s a n	krus	3plPres
k r u s a	krus	3sgPres
k r u s a m o s	krus	1plPres
k r u s a i s	krus	2plPres
k i t o	kit	1sgPres
k i t a s	kit	2sgPres
k i t a n	kit	3plPres
k i t a	kit	3sgPres
k i t a m o s	kit	1plPres
k i t a i s	kit	2plPres
d i s p a r o	dispar	1sgPres
d i s p a r a s	dispar	2sgPres
d i s p a r a n	dispar	3plPres
d i s p a r a	dispar	3sgPres
d i s p a r a m o s	dispar	1plPres
d i s p a r a i s	dispar	2plPres
d e s e p s j o n o	desepsjon	1sgPres
d e s e p s j o n a s	desepsjon	2sgPres
d e s e p s j o n a n	desepsjon	3plPres
d e s e p s j o n a	desepsjon	3sgPres
d e s e p s j o n a m o s	desepsjon	1plPres
d e s e p s j o n a i s	desepsjon	2plPres
e s k u C o	eskuC	1sgPres
e s k u C a s	eskuC	2sgPres
e s k u C a n	eskuC	3plPres
e s k u C a	eskuC	3sgPres
e s k u C a m o s	eskuC	1plPres
e s k u C a i s	eskuC	2plPres
a x i t o	axit	1sgPres
a x i t a s	axit	2sgPres
a x i t a n	axit	3plPres
a x i t a	axit	3sgPres
a x i t a m o s	axit	1plPres
a x i t a i s	axit	2plPres
r e b o l o t e o	rebolote	1sgPres
r e b o l o t e a s	rebolote	2sgPres
r e b o l o t e a n	rebolote	3plPres
r e b o l o t e a	rebolote	3sgPres
r e b o l o t e a m o s	rebolote	1plPres
